wave,server,bot,main_role,eff,avg_spd,max_spd,dist,prog_ms,steals,caps,kills,deaths
164,s06-5v5-lmctf05,Vore[SG],attack,1.869,132,751,19238,35962,0,0,4,2
164,s06-5v5-lmctf05,Fiend[SG],attack,1.961,175,789,83502,163731,0,0,11,11
164,s07-5v5-lmctf01,Arach[SG],defend,1.256,1,285,1190,1495,0,0,1,0
164,s07-5v5-lmctf01,Caco[SG],defend,1.214,88,777,17693,21477,0,0,3,1
164,s07-5v5-lmctf01,Rune[SG],defend,0.509,221,494,30233,15400,0,0,0,0
164,s07-5v5-lmctf01,Slip[SG],defend,0.677,227,706,42732,28915,0,0,1,0
164,s07-5v5-lmctf01,Gate[SG],attack,1.131,192,778,68120,77028,0,0,0,2
164,s07-5v5-lmctf01,Phase[SG],attack,1.166,227,809,90578,105597,1,0,7,8
164,s07-5v5-lmctf01,Field[SG],attack,1.399,209,798,89543,125287,0,0,2,3
164,s07-5v5-lmctf01,Trace[SG],attack,2.257,173,797,81446,183836,0,0,3,2
164,s07-5v5-lmctf01,Vore[SG],attack,1.239,167,800,72257,89543,0,0,3,2
164,s07-5v5-lmctf01,Fiend[SG],attack,1.406,175,773,74692,105033,0,0,3,5
164,s08-7v7-lmctf09,Arach[SG],defend,1.656,27,779,13494,22350,0,0,6,1
164,s08-7v7-lmctf09,Caco[SG],defend,0.912,76,754,24414,22271,0,0,6,6
164,s08-7v7-lmctf09,Rune[SG],defend,1.171,203,656,50754,59438,0,0,3,2
164,s08-7v7-lmctf09,Slip[SG],defend,1.343,187,795,74118,99545,0,0,4,6
164,s08-7v7-lmctf09,Gate[SG],attack,1.551,205,776,93914,145650,0,0,14,8
164,s08-7v7-lmctf09,Phase[SG],attack,1.641,221,809,103561,169910,0,0,22,9
164,s08-7v7-lmctf09,Field[SG],attack,1.766,218,779,96612,170582,0,0,5,9
164,s08-7v7-lmctf09,Trace[SG],attack,1.656,212,788,97487,161416,0,0,2,11
164,s08-7v7-lmctf09,Vore[SG],attack,1.790,197,792,92039,164726,1,0,7,11
164,s08-7v7-lmctf09,Fiend[SG],attack,1.455,200,797,84495,122976,0,0,9,8
164,s08-7v7-lmctf09,Scrag[SG],attack,1.625,246,785,112584,182951,0,0,13,7
164,s08-7v7-lmctf09,Ogre[SG],attack,1.543,202,800,95699,147655,2,0,4,14
164,s08-7v7-lmctf09,Knight[SG],attack,1.678,194,809,94369,158345,0,0,1,9
164,s08-7v7-lmctf09,Wizard[SG],attack,1.658,247,796,110795,183656,1,0,19,14
164,s09-7v7-lmctf09,Arach[SG],defend,1.674,37,809,13463,22537,0,0,4,2
164,s09-7v7-lmctf09,Caco[SG],defend,1.001,63,738,23002,23030,0,0,5,4
164,s09-7v7-lmctf09,Rune[SG],defend,1.170,174,778,61958,72516,0,0,7,0
164,s09-7v7-lmctf09,Slip[SG],defend,1.403,139,765,34433,48303,0,0,2,7
164,s09-7v7-lmctf09,Gate[SG],attack,1.895,195,799,93173,176574,0,0,16,8
164,s09-7v7-lmctf09,Phase[SG],attack,1.975,229,781,106598,210509,0,0,13,11
164,s09-7v7-lmctf09,Field[SG],attack,1.785,189,799,91084,162545,0,0,7,8
164,s09-7v7-lmctf09,Trace[SG],attack,1.659,206,786,98494,163360,1,0,15,10
164,s09-7v7-lmctf09,Vore[SG],attack,1.803,214,799,99565,179559,1,0,11,23
164,s09-7v7-lmctf09,Fiend[SG],attack,1.972,191,806,91979,181398,0,0,9,12
164,s09-7v7-lmctf09,Scrag[SG],attack,1.597,236,809,109660,175073,1,0,19,6
164,s09-7v7-lmctf09,Ogre[SG],attack,1.605,162,795,78107,125334,0,0,8,16
164,s09-7v7-lmctf09,Knight[SG],attack,1.713,237,799,107090,183406,1,0,8,12
164,s09-7v7-lmctf09,Wizard[SG],attack,1.636,191,800,91203,149179,0,0,8,13
164,s10-5v1-smap05,Arach[SG],defend,1.295,81,775,28468,36857,0,0,1,0
164,s10-5v1-smap05,Caco[SG],attack,1.802,204,797,90925,163856,1,0,4,18
164,s10-5v1-smap05,Rune[SG],defend,1.563,222,1016,73299,114543,0,0,3,2
164,s10-5v1-smap05,Slip[SG],attack,1.723,205,797,82092,141445,0,0,4,1
164,s10-5v1-smap05,Gate[SG],attack,1.667,199,777,87871,146448,4,1,4,0
164,s10-5v1-smap05,Phase[SG],attack,1.728,211,794,76375,131993,1,0,6,1
165,s01-2v2-lmctf03,Arach[SG],defend,1.792,28,779,10338,18529,0,0,0,0
165,s01-2v2-lmctf03,Caco[SG],defend,1.589,211,777,21209,33691,1,0,0,0
165,s01-2v2-lmctf03,Rune[SG],attack,1.972,143,795,52587,103717,0,0,0,0
165,s01-2v2-lmctf03,Slip[SG],attack,0.980,223,791,85375,83638,1,0,0,0
165,s02-2v2-lmctf03,Arach[SG],defend,1.885,78,779,38414,72403,0,0,0,0
165,s02-2v2-lmctf03,Caco[SG],defend,2.090,236,777,27092,56616,0,0,0,0
165,s02-2v2-lmctf03,Rune[SG],attack,1.872,186,798,63584,119001,0,0,0,1
165,s02-2v2-lmctf03,Slip[SG],attack,1.146,225,779,88432,101318,1,0,1,0
165,s03-5v5-lmctf22,Arach[SG],defend,1.182,197,778,42892,50697,0,0,3,6
165,s03-5v5-lmctf22,Caco[SG],defend,1.089,224,775,49128,53500,0,0,1,7
165,s03-5v5-lmctf22,Rune[SG],defend,1.240,226,777,73374,90953,0,0,7,4
165,s03-5v5-lmctf22,Slip[SG],defend,1.240,170,781,43661,54157,0,0,4,2
165,s03-5v5-lmctf22,Gate[SG],attack,1.430,242,779,99718,142552,0,0,8,9
165,s03-5v5-lmctf22,Phase[SG],attack,1.003,177,778,75259,75464,0,0,5,0
165,s03-5v5-lmctf22,Field[SG],attack,1.466,227,782,95712,140322,1,0,8,11
165,s03-5v5-lmctf22,Trace[SG],attack,1.260,235,780,98122,123616,1,0,11,11
165,s03-5v5-lmctf22,Vore[SG],attack,1.442,222,788,96758,139536,0,0,8,8
165,s03-5v5-lmctf22,Fiend[SG],attack,1.520,232,787,88872,135088,0,0,8,6
165,s04-5v5-lmctf02c,Arach[SG],defend,1.137,119,763,58239,66190,0,0,1,0
165,s04-5v5-lmctf02c,Caco[SG],defend,1.488,142,755,67804,100913,0,0,1,1
165,s04-5v5-lmctf02c,Rune[SG],defend,1.174,235,806,109405,128438,0,0,0,0
165,s04-5v5-lmctf02c,Slip[SG],defend,1.327,228,782,69531,92251,0,0,0,0
165,s04-5v5-lmctf02c,Gate[SG],attack,1.667,216,806,104425,174085,0,0,3,6
165,s04-5v5-lmctf02c,Phase[SG],attack,1.775,204,764,96669,171573,0,0,7,7
165,s04-5v5-lmctf02c,Field[SG],attack,2.003,213,781,88452,177168,0,0,1,8
165,s04-5v5-lmctf02c,Trace[SG],attack,1.289,207,785,96693,124661,0,0,7,5
165,s04-5v5-lmctf02c,Vore[SG],attack,1.659,217,806,101233,167935,0,0,7,4
165,s04-5v5-lmctf02c,Fiend[SG],attack,2.229,224,806,106273,236874,0,0,9,5
165,s05-5v5-mactf06,Arach[SG],defend,0.147,118,612,7484,1100,0,0,3,3
165,s05-5v5-mactf06,Caco[SG],defend,1.784,209,764,34045,60746,0,0,2,6
165,s05-5v5-mactf06,Rune[SG],defend,0.750,231,760,15018,11261,0,0,4,2
165,s05-5v5-mactf06,Slip[SG],defend,1.413,246,789,36459,51510,0,0,1,2
165,s05-5v5-mactf06,Gate[SG],attack,1.332,229,791,93662,124755,1,0,9,9
165,s05-5v5-mactf06,Phase[SG],attack,1.364,237,800,102929,140363,0,0,6,2
165,s05-5v5-mactf06,Field[SG],attack,1.402,232,785,101010,141588,0,0,7,10
165,s05-5v5-mactf06,Trace[SG],attack,1.143,238,788,103020,117740,0,0,10,5
165,s05-5v5-mactf06,Vore[SG],attack,1.499,230,785,108461,162575,0,0,3,10
165,s05-5v5-mactf06,Fiend[SG],attack,1.213,231,785,100438,121836,0,0,8,4
165,s06-5v5-lmctf05,Arach[SG],defend,0.760,36,773,10441,7935,0,0,1,0
165,s06-5v5-lmctf05,Caco[SG],defend,1.268,61,753,22180,28125,0,0,3,2
165,s06-5v5-lmctf05,Rune[SG],defend,2.211,187,775,53879,119144,1,0,1,0
165,s06-5v5-lmctf05,Slip[SG],defend,2.083,184,779,82232,171280,0,0,3,8
165,s06-5v5-lmctf05,Gate[SG],attack,1.916,153,747,73999,141801,1,0,6,7
165,s06-5v5-lmctf05,Phase[SG],attack,2.115,167,778,81205,171772,1,0,2,1
165,s06-5v5-lmctf05,Field[SG],attack,2.723,146,794,70240,191249,0,0,7,3
165,s06-5v5-lmctf05,Trace[SG],attack,2.177,169,756,81464,177309,1,0,10,8
165,s06-5v5-lmctf05,Vore[SG],attack,2.148,186,778,80749,173443,0,0,3,5
165,s06-5v5-lmctf05,Fiend[SG],attack,3.796,117,663,16516,62696,0,0,0,2
165,s07-5v5-lmctf01,Arach[SG],defend,1.256,1,285,1190,1495,0,0,1,0
165,s07-5v5-lmctf01,Caco[SG],defend,1.155,98,796,22786,26325,0,0,2,0
165,s07-5v5-lmctf01,Rune[SG],defend,0.483,235,778,23176,11200,0,0,1,0
165,s07-5v5-lmctf01,Slip[SG],defend,1.111,213,778,59808,66445,0,0,2,3
165,s07-5v5-lmctf01,Gate[SG],attack,1.390,216,784,98848,137439,0,0,4,6
165,s07-5v5-lmctf01,Phase[SG],attack,1.160,215,802,90957,105546,0,0,6,6
165,s07-5v5-lmctf01,Field[SG],attack,1.247,175,776,78821,98275,0,0,4,6
165,s07-5v5-lmctf01,Trace[SG],attack,1.367,208,796,88610,121168,0,0,10,4
165,s07-5v5-lmctf01,Vore[SG],attack,1.274,180,784,82597,105252,0,0,4,6
165,s07-5v5-lmctf01,Fiend[SG],attack,1.390,189,806,83342,115813,0,0,4,7
165,s08-7v7-lmctf09,Arach[SG],defend,1.175,67,753,25144,29546,0,0,6,3
165,s08-7v7-lmctf09,Caco[SG],defend,0.751,41,724,12884,9675,0,0,1,3
165,s08-7v7-lmctf09,Rune[SG],defend,0.904,230,656,61619,55703,0,0,5,3
165,s08-7v7-lmctf09,Slip[SG],defend,0.967,195,770,34590,33436,0,0,3,2
165,s08-7v7-lmctf09,Gate[SG],attack,1.526,212,806,101470,154798,0,0,17,7
165,s08-7v7-lmctf09,Phase[SG],attack,1.636,212,775,99326,162511,0,0,7,10
165,s08-7v7-lmctf09,Field[SG],attack,1.643,217,787,104125,171123,0,0,14,13
165,s08-7v7-lmctf09,Trace[SG],attack,1.625,224,774,96387,156609,0,0,7,8
165,s08-7v7-lmctf09,Vore[SG],attack,1.455,191,795,95146,138469,0,0,6,9
165,s08-7v7-lmctf09,Fiend[SG],attack,1.616,236,789,104631,169049,0,0,10,12
165,s08-7v7-lmctf09,Scrag[SG],attack,1.645,206,795,99084,162989,0,0,9,10
165,s08-7v7-lmctf09,Ogre[SG],attack,1.602,224,798,107130,171625,0,0,8,9
165,s08-7v7-lmctf09,Knight[SG],attack,1.773,213,781,101226,179448,0,0,12,16
165,s08-7v7-lmctf09,Wizard[SG],attack,1.831,234,779,98977,181257,0,0,9,9
165,s09-7v7-lmctf09,Arach[SG],defend,1.479,42,771,20778,30734,0,0,0,2
165,s09-7v7-lmctf09,Caco[SG],defend,1.094,102,809,35329,38654,0,0,7,5
165,s09-7v7-lmctf09,Rune[SG],defend,1.133,224,739,77842,88184,0,0,2,9
165,s09-7v7-lmctf09,Slip[SG],defend,1.477,184,788,60884,89940,0,0,5,8
165,s09-7v7-lmctf09,Gate[SG],attack,1.814,236,807,110073,199691,0,0,9,13
165,s09-7v7-lmctf09,Phase[SG],attack,1.653,220,788,94364,156001,0,0,10,13
165,s09-7v7-lmctf09,Field[SG],attack,1.619,230,800,83405,135071,0,0,10,7
165,s09-7v7-lmctf09,Trace[SG],attack,1.579,227,781,100264,158303,0,0,8,8
165,s09-7v7-lmctf09,Vore[SG],attack,1.719,227,808,100013,171927,1,0,12,6
165,s09-7v7-lmctf09,Fiend[SG],attack,1.670,232,808,100049,167037,2,0,13,8
165,s09-7v7-lmctf09,Scrag[SG],attack,1.564,211,797,98339,153824,0,0,7,17
165,s09-7v7-lmctf09,Ogre[SG],attack,1.551,190,782,83339,129254,0,0,12,7
165,s09-7v7-lmctf09,Knight[SG],attack,1.753,206,799,88618,155327,1,0,16,7
165,s09-7v7-lmctf09,Wizard[SG],attack,1.722,179,800,87554,150760,0,0,8,9
165,s10-5v1-smap05,Arach[SG],defend,2.193,13,745,5550,12169,0,0,0,1
165,s10-5v1-smap05,Caco[SG],attack,1.640,195,1100,91098,149429,1,0,8,6
165,s10-5v1-smap05,Rune[SG],defend,1.098,207,792,67340,73934,0,0,2,2
165,s10-5v1-smap05,Slip[SG],attack,1.346,188,767,65190,87776,1,0,0,2
165,s10-5v1-smap05,Gate[SG],attack,1.522,185,790,73957,112597,1,0,3,2
165,s10-5v1-smap05,Phase[SG],attack,1.413,196,794,67220,94983,0,0,1,1
166,s01-2v2-lmctf03,Arach[SG],defend,0.873,50,789,22267,19434,0,0,0,0
166,s01-2v2-lmctf03,Caco[SG],defend,0.189,249,777,10874,2055,0,0,0,0
166,s01-2v2-lmctf03,Rune[SG],attack,1.637,121,753,50998,83461,0,0,0,0
166,s01-2v2-lmctf03,Slip[SG],attack,0.645,250,784,90163,58157,0,0,0,0
166,s02-2v2-lmctf03,Arach[SG],defend,1.164,2,749,1331,1550,0,0,0,0
166,s02-2v2-lmctf03,Caco[SG],defend,0.189,249,777,10892,2055,0,0,0,0
166,s02-2v2-lmctf03,Rune[SG],attack,1.916,183,789,56697,108648,0,0,0,1
166,s02-2v2-lmctf03,Slip[SG],attack,0.517,258,781,96663,49973,0,0,1,0
166,s03-5v5-lmctf22,Arach[SG],defend,1.486,147,797,50846,75565,0,0,9,9
166,s03-5v5-lmctf22,Caco[SG],defend,0.690,237,801,40010,27625,0,0,2,1
166,s03-5v5-lmctf22,Rune[SG],defend,1.611,181,774,60207,96973,0,0,3,5
166,s03-5v5-lmctf22,Slip[SG],defend,1.562,215,775,50979,79605,0,0,5,6
166,s03-5v5-lmctf22,Gate[SG],attack,1.486,201,790,91027,135267,1,0,8,4
166,s03-5v5-lmctf22,Phase[SG],attack,1.489,242,795,99668,148440,0,0,7,11
166,s03-5v5-lmctf22,Field[SG],attack,1.491,235,786,99520,148336,0,0,7,10
166,s03-5v5-lmctf22,Trace[SG],attack,1.711,223,791,92884,158911,0,0,7,13
166,s03-5v5-lmctf22,Vore[SG],attack,1.549,235,776,90026,139421,1,0,16,7
166,s03-5v5-lmctf22,Fiend[SG],attack,1.702,238,791,94800,161360,2,0,11,10
166,s04-5v5-lmctf02c,Arach[SG],defend,1.148,126,770,59827,68670,0,0,0,1
166,s04-5v5-lmctf02c,Caco[SG],defend,1.662,195,778,87392,145267,0,0,1,0
166,s04-5v5-lmctf02c,Rune[SG],defend,1.331,234,783,96996,129104,0,0,1,3
166,s04-5v5-lmctf02c,Slip[SG],defend,1.256,219,768,86967,109215,0,0,0,0
166,s04-5v5-lmctf02c,Gate[SG],attack,1.350,227,776,100376,135473,0,0,3,4
166,s04-5v5-lmctf02c,Phase[SG],attack,1.874,207,783,91644,171742,0,0,3,9
166,s04-5v5-lmctf02c,Field[SG],attack,2.070,211,793,99951,206918,0,0,5,3
166,s04-5v5-lmctf02c,Trace[SG],attack,1.805,225,805,102466,184905,0,0,8,5
166,s04-5v5-lmctf02c,Vore[SG],attack,2.217,218,799,101453,224944,0,0,7,5
166,s04-5v5-lmctf02c,Fiend[SG],attack,1.776,217,800,101831,180819,0,0,9,7
166,s05-5v5-mactf06,Arach[SG],defend,0.754,129,776,20669,15590,0,0,0,2
166,s05-5v5-mactf06,Caco[SG],defend,0.982,104,776,22726,22328,0,0,0,5
166,s05-5v5-mactf06,Rune[SG],defend,1.091,234,761,19575,21357,0,0,2,6
166,s05-5v5-mactf06,Slip[SG],defend,0.080,250,653,12450,1000,0,0,1,0
166,s05-5v5-mactf06,Gate[SG],attack,1.263,231,803,108485,137032,0,0,9,1
166,s05-5v5-mactf06,Phase[SG],attack,1.517,236,800,93907,142468,0,0,8,4
166,s05-5v5-mactf06,Field[SG],attack,1.266,225,779,92941,117692,0,0,8,6
166,s05-5v5-mactf06,Trace[SG],attack,1.599,230,800,97596,156024,0,0,6,6
166,s05-5v5-mactf06,Vore[SG],attack,1.397,222,779,92214,128838,0,0,4,10
166,s05-5v5-mactf06,Fiend[SG],attack,1.175,231,796,94514,111079,0,0,6,4
166,s06-5v5-lmctf05,Arach[SG],defend,1.471,157,776,64475,94867,0,0,11,5
166,s06-5v5-lmctf05,Caco[SG],defend,1.477,137,779,53611,79159,0,0,3,12
166,s06-5v5-lmctf05,Rune[SG],defend,1.286,237,774,60445,77704,0,0,2,2
166,s06-5v5-lmctf05,Slip[SG],defend,1.570,205,779,81096,127280,0,0,3,10
166,s06-5v5-lmctf05,Gate[SG],attack,2.156,150,788,65958,142177,1,0,8,4
166,s06-5v5-lmctf05,Phase[SG],attack,2.020,130,798,54755,110617,0,0,12,7
166,s06-5v5-lmctf05,Field[SG],attack,2.139,173,770,79249,169494,0,0,7,10
166,s06-5v5-lmctf05,Trace[SG],attack,1.960,148,771,75908,148770,0,0,10,5
166,s06-5v5-lmctf05,Vore[SG],attack,2.016,185,799,84756,170859,2,0,8,10
166,s06-5v5-lmctf05,Fiend[SG],attack,2.546,154,799,12947,32964,0,0,1,1
166,s07-5v5-lmctf01,Arach[SG],defend,1.256,1,285,1190,1495,0,0,1,0
166,s07-5v5-lmctf01,Caco[SG],defend,0.140,137,301,6948,971,0,0,0,0
166,s07-5v5-lmctf01,Rune[SG],defend,0.523,222,387,34059,17800,0,0,0,1
166,s07-5v5-lmctf01,Slip[SG],defend,1.074,207,714,52657,56539,0,0,0,2
166,s07-5v5-lmctf01,Gate[SG],attack,1.016,209,782,78688,79929,0,0,6,4
166,s07-5v5-lmctf01,Phase[SG],attack,1.169,207,802,89207,104266,0,0,3,2
166,s07-5v5-lmctf01,Field[SG],attack,1.372,165,800,76896,105484,0,0,2,4
166,s07-5v5-lmctf01,Trace[SG],attack,2.617,181,800,84202,220370,0,0,3,2
166,s07-5v5-lmctf01,Vore[SG],attack,1.467,167,800,72614,106501,0,0,2,4
166,s07-5v5-lmctf01,Fiend[SG],attack,1.426,175,787,78012,111207,0,0,4,3
166,s08-7v7-lmctf09,Arach[SG],defend,1.341,18,799,9539,12791,0,0,4,2
166,s08-7v7-lmctf09,Caco[SG],defend,1.300,108,800,45006,58529,0,0,2,6
166,s08-7v7-lmctf09,Rune[SG],defend,1.230,221,715,63747,78426,0,0,4,1
166,s08-7v7-lmctf09,Slip[SG],defend,1.208,233,801,38189,46148,0,0,2,8
166,s08-7v7-lmctf09,Gate[SG],attack,1.618,227,799,102833,166394,0,0,17,16
166,s08-7v7-lmctf09,Phase[SG],attack,1.812,183,773,88051,159568,0,0,5,6
166,s08-7v7-lmctf09,Field[SG],attack,1.758,197,798,86393,151905,1,0,7,11
166,s08-7v7-lmctf09,Trace[SG],attack,1.860,209,799,96106,178747,1,0,12,5
166,s08-7v7-lmctf09,Vore[SG],attack,1.779,205,777,87988,156526,1,0,11,12
166,s08-7v7-lmctf09,Fiend[SG],attack,1.794,189,809,91976,164963,0,0,4,6
166,s08-7v7-lmctf09,Scrag[SG],attack,1.879,207,801,97179,182617,0,0,15,8
166,s08-7v7-lmctf09,Ogre[SG],attack,1.563,202,779,95805,149717,0,0,7,8
166,s08-7v7-lmctf09,Knight[SG],attack,1.757,220,800,97683,171664,0,0,7,7
166,s08-7v7-lmctf09,Wizard[SG],attack,1.671,223,790,103224,172500,0,0,7,9
166,s09-7v7-lmctf09,Arach[SG],defend,1.799,21,799,10095,18157,0,0,5,3
166,s09-7v7-lmctf09,Caco[SG],defend,1.272,23,471,7841,9977,0,0,3,0
166,s09-7v7-lmctf09,Rune[SG],defend,0.842,216,799,37981,31976,0,0,7,4
166,s09-7v7-lmctf09,Slip[SG],defend,1.315,202,770,27036,35552,0,0,8,1
166,s09-7v7-lmctf09,Gate[SG],attack,1.785,202,800,100449,179265,0,0,8,15
166,s09-7v7-lmctf09,Phase[SG],attack,1.742,203,779,101198,176293,0,0,13,8
166,s09-7v7-lmctf09,Field[SG],attack,1.914,219,960,110892,212225,0,0,12,17
166,s09-7v7-lmctf09,Trace[SG],attack,1.516,203,799,98112,148689,0,0,14,12
166,s09-7v7-lmctf09,Vore[SG],attack,1.862,217,800,101997,189964,0,0,12,14
166,s09-7v7-lmctf09,Fiend[SG],attack,1.675,226,804,96544,161752,0,0,13,12
166,s09-7v7-lmctf09,Scrag[SG],attack,1.676,225,809,106132,177859,0,0,15,13
166,s09-7v7-lmctf09,Ogre[SG],attack,1.545,205,792,87301,134909,0,0,10,13
166,s09-7v7-lmctf09,Knight[SG],attack,1.662,233,798,94099,156357,0,0,13,13
166,s09-7v7-lmctf09,Wizard[SG],attack,1.678,210,793,92469,155158,0,0,9,17
166,s10-5v1-smap05,Arach[SG],defend,1.495,44,775,19162,28649,0,0,3,1
166,s10-5v1-smap05,Caco[SG],recover,1.783,188,796,83801,149436,0,0,7,11
166,s10-5v1-smap05,Rune[SG],defend,1.530,189,1100,60945,93230,0,0,2,0
166,s10-5v1-smap05,Slip[SG],attack,1.596,202,793,77959,124458,2,1,2,2
166,s10-5v1-smap05,Gate[SG],attack,1.755,186,800,59834,104999,0,0,2,1
166,s10-5v1-smap05,Phase[SG],attack,1.641,207,800,77828,127737,1,0,2,3
167,s01-2v2-lmctf03,Arach[SG],defend,0.863,30,749,9173,7912,0,0,0,0
167,s01-2v2-lmctf03,Caco[SG],defend,0.383,185,777,9553,3655,0,0,1,1
167,s01-2v2-lmctf03,Rune[SG],attack,1.276,193,774,86926,110923,0,0,1,1
167,s01-2v2-lmctf03,Slip[SG],attack,1.703,144,779,59341,101032,0,0,0,0
167,s02-2v2-lmctf03,Arach[SG],defend,1.113,54,749,25174,28014,0,0,1,0
167,s02-2v2-lmctf03,Caco[SG],defend,0.189,249,777,10874,2055,0,0,0,0
167,s02-2v2-lmctf03,Rune[SG],attack,1.690,152,776,63695,107660,0,0,0,0
167,s02-2v2-lmctf03,Slip[SG],attack,1.172,191,779,76789,89985,0,0,0,1
167,s03-5v5-lmctf22,Arach[SG],defend,1.318,81,754,19910,26249,0,0,5,2
167,s03-5v5-lmctf22,Caco[SG],defend,0.332,182,775,19216,6375,0,0,4,1
167,s03-5v5-lmctf22,Rune[SG],defend,1.173,208,781,41822,49052,0,0,3,0
167,s03-5v5-lmctf22,Slip[SG],defend,1.092,231,766,33344,36410,0,0,1,1
167,s03-5v5-lmctf22,Gate[SG],attack,1.187,188,786,80774,95858,1,0,3,3
167,s03-5v5-lmctf22,Phase[SG],attack,1.172,238,777,95992,112488,0,0,4,6
167,s03-5v5-lmctf22,Field[SG],attack,1.695,232,794,103353,175157,0,0,8,5
167,s03-5v5-lmctf22,Trace[SG],attack,1.484,250,788,99447,147552,0,0,9,11
167,s03-5v5-lmctf22,Vore[SG],attack,1.575,238,787,107485,169327,1,0,0,10
167,s03-5v5-lmctf22,Fiend[SG],attack,1.537,226,782,97979,150608,0,0,9,7
167,s04-5v5-lmctf02c,Arach[SG],defend,1.398,145,773,75131,105050,0,0,1,1
167,s04-5v5-lmctf02c,Caco[SG],defend,1.918,130,778,58811,112802,0,0,1,4
